이한구_0,소셜리티로 구성된 스마트 디바이스간의 개방형 콘텐츠 전달을 위한 클라우드 단말 서비스 기술 개발,이한구_2,복합 콘텍스트 및 Rule-Matr ix를 활용한 사용자 맞춤형 SaaS 어플리케이션 연동 서비스 프레임워크,weight,3
유성준_0,인메모리 기반 빅데이터의 맞춤형 자동 큐레이션 기술 연구,유성준_1,대용량데이터 초고속처리 장비연구 인프라구축,weight,3
유성준_0,인메모리 기반 빅데이터의 맞춤형 자동 큐레이션 기술 연구,유성준_2,라이프케어 실현을 위한 빅데이터 활용,weight,3
조기환_0,사물인터넷/빅데이터 기반 차세대 공공안전 서비스 기술 개발,조기환_1,사물인터넷/빅데이터 기반 차세대 공공안전 서비스 기술 개발,weight,3
조기환_0,사물인터넷/빅데이터 기반 차세대 공공안전 서비스 기술 개발,조기환_2,머리말,weight,0.8
황민철_0,융·복합 콘텐츠 Social 감성인지와 Social Intelligence 모델 활용 Life Logging 기반 기술 개발,황민철_1,융복합 콘텐츠 Social 감성인지와 Social Intelligence 모델 활용 Life Logging 기반 기술 개발,weight,3
강장묵_0,빅데이터 중 POI와 공간 메타포를 활용한 인문 융합 지도 연구,강장묵_1,인공지능 기반 가짜뉴스를 판단하는 알고리즘 설계 및 S/W 모델링,weight,0.4
황지영_0,거대 소셜 네트워크의 클러스터링 구조를 활용한 정보 전파 메커니즘 모델링,황지영_1,다각적 데이터 융합을 통한 그래프기반 준지도 학습,weight,2.4646647168
황지영_0,다각적 데이터 융합을 통한 그래프기반 준지도 학습,황지영_1,다각적 데이터 융합을 통한 그래프기반 준지도 학습,weight,1.7998765902
황지영_0,거대 소셜 네트워크의 클러스터링 구조를 활용한 정보 전파 메커니즘 모델링,황지영_2,DMZ 관광 연구트렌드 분석: 언어네트워크분석을 활용하여,weight,0.8
황지영_0,거대 소셜 네트워크의 클러스터링 구조를 활용한 정보 전파 메커니즘 모델링,황지영_3,정교한 이웃 노드 선택법을 활용한 그래프 합성곱 네트워크,weight,3
황지영_0,거대 소셜 네트워크의 클러스터링 구조를 활용한 정보 전파 메커니즘 모델링,황지영_1,다각적 데이터 융합을 통한 그래프기반 준지도 학습,weight,2.4646647168
황지영_0,다각적 데이터 융합을 통한 그래프기반 준지도 학습,황지영_1,다각적 데이터 융합을 통한 그래프기반 준지도 학습,weight,1.7998765902
황지영_0,거대 소셜 네트워크의 클러스터링 구조를 활용한 정보 전파 메커니즘 모델링,황지영_2,DMZ 관광 연구트렌드 분석: 언어네트워크분석을 활용하여,weight,0.8
황지영_1,다각적 데이터 융합을 통한 그래프기반 준지도 학습,황지영_2,DMZ 관광 연구트렌드 분석: 언어네트워크분석을 활용하여,weight,0.8
조윤식_0,소셜네트워크 기반 이종 데이터를 활용한 이용자 평판 모델링,조윤식_1,소셜네트워크 기반 이종 데이터를 활용한 이용자 평판 모델링,weight,2.793262053
이정희_0,산림휴양공간 이용특성 분석을 위한 국내 스마트폰 산행앱(APP)의 적용성 및 활용방안 연구: 대관령 선자령 일대를 중심으로,이정희_1,산림휴양공간 이용특성 분석을 위한 국내 스마트폰 산행앱(APP)의 적용성 및 활용방안 연구: 대관령 선자령 일대를 중심으로,weight,4
이정민_0,창의혁신을 위한 스마트교육 전문가 양성팀,이정민_1,2017년 해양수산 SNS 빅데이터 분석 결과 및 시사점,weight,0.4
이정민_0,창의혁신을 위한 스마트교육 전문가 양성팀,이정민_2,기자다움에 대한 반문(反問) : 기레기,weight,0
이정민_1,2017년 해양수산 SNS 빅데이터 분석 결과 및 시사점,이정민_2,기자다움에 대한 반문(反問) : 기레기,weight,0.6
김연종_0,혁신 확산이 여론형성에 미치는 영향에 대한 빅데이터 분석,김연종_1,혁신확산이 여론형성에 미치는 영향에 대한 빅데이터 분석,weight,0.4
최상현_0,빅데이터 서비스모델 최적화,최상현_1,대학 홈페이지 활용도 향상을 위한 웹 로그 프로세스마이닝 분석,weight,0.8
이희정_0,텍스트 네트워크 분석을 통한 전통시장 활성화 정책의 영향력 분석 연구,이희정_1,텍스트 분석 기법과 식재료 계층구조를 활용한 음식 레시피 추천 방법,weight,0.6
서주환_0,빅데이터를 활용한 도시공원 이용행태 특성의 시계열 분석,서주환_1,PPDM기반 이종 DB 연계를 활용한 출연연 공동연구 지원 효율화 연구,weight,0.6
김지은_0,소셜 네트워크 분석을 활용한 BIM 기반의 1인 주거공간모델 개발,김지은_1,디자인-특허 빅데이터에 기반한 디자인 관계망 분석 : Gephi를 활용한 정보시각화 사례,weight,0.8
김지은_0,소셜 네트워크 분석을 활용한 BIM 기반의 1인 주거공간모델 개발,김지은_2,소셜 네트워크 분석 방법론을 활용한 1인 주거공간디자인 융합콘텐츠 상관관계 분석,weight,1
김지은_0,소셜 네트워크 분석을 활용한 BIM 기반의 1인 주거공간모델 개발,김지은_3,중국 과학기술·신산업 혁신 역량 분석 : ① 중국의 드론 굴기와 한국의 대응 전략,weight,0.8
김지은_1,디자인-특허 빅데이터에 기반한 디자인 관계망 분석 : Gephi를 활용한 정보시각화 사례,김지은_2,소셜 네트워크 분석 방법론을 활용한 1인 주거공간디자인 융합콘텐츠 상관관계 분석,weight,0.8
김지은_1,디자인-특허 빅데이터에 기반한 디자인 관계망 분석 : Gephi를 활용한 정보시각화 사례,김지은_3,중국 과학기술·신산업 혁신 역량 분석 : ① 중국의 드론 굴기와 한국의 대응 전략,weight,0.6
김지은_2,소셜 네트워크 분석 방법론을 활용한 1인 주거공간디자인 융합콘텐츠 상관관계 분석,김지은_3,중국 과학기술·신산업 혁신 역량 분석 : ① 중국의 드론 굴기와 한국의 대응 전략,weight,0.8
송은지_0,빅 데이터 기반 호텔고객 평판 분석에 관한 연구,송은지_1,소셜 미디어 상 고객피드백을 위한 감성분석,weight,4
이동호_0,빅데이터 기술을 활용한 사용자 신뢰도 모델 기반 소셜 멀티미디어 태깅 및 태그 관리 시스템,이동호_1,빅 데이터 처리 기술을 활용한 연관 단어 추출 기법,weight,3
이상훈_0,네트워크 커뮤니티 분석을 이용한 영향력 모델 평가,이상훈_1,빅데이터 시대의 공유와 개방을 위한 국가공간정보의 역할 및 도전 : 유엔 공간정보협의체 활동을 중심으로,weight,0
이상훈_0,네트워크 커뮤니티 분석을 이용한 영향력 모델 평가,이상훈_2,글로벌 데카콘 기업의 성장경로 분석 - 미국과 중국 사례를 중심으로 -,weight,0.6
이상훈_0,네트워크 커뮤니티 분석을 이용한 영향력 모델 평가,이상훈_3,대한민국 제조혁신 전략,weight,0.8
이상훈_1,빅데이터 시대의 공유와 개방을 위한 국가공간정보의 역할 및 도전 : 유엔 공간정보협의체 활동을 중심으로,이상훈_2,글로벌 데카콘 기업의 성장경로 분석 - 미국과 중국 사례를 중심으로 -,weight,-0.4
이상훈_1,빅데이터 시대의 공유와 개방을 위한 국가공간정보의 역할 및 도전 : 유엔 공간정보협의체 활동을 중심으로,이상훈_3,대한민국 제조혁신 전략,weight,0.2
이상훈_2,글로벌 데카콘 기업의 성장경로 분석 - 미국과 중국 사례를 중심으로 -,이상훈_3,대한민국 제조혁신 전략,weight,4
이상훈_0,네트워크 커뮤니티 분석을 이용한 영향력 모델 평가,이상훈_1,빅데이터 시대의 공유와 개방을 위한 국가공간정보의 역할 및 도전 : 유엔 공간정보협의체 활동을 중심으로,weight,0
이상훈_0,네트워크 커뮤니티 분석을 이용한 영향력 모델 평가,이상훈_2,글로벌 데카콘 기업의 성장경로 분석 - 미국과 중국 사례를 중심으로 -,weight,0.6
이상훈_1,빅데이터 시대의 공유와 개방을 위한 국가공간정보의 역할 및 도전 : 유엔 공간정보협의체 활동을 중심으로,이상훈_2,글로벌 데카콘 기업의 성장경로 분석 - 미국과 중국 사례를 중심으로 -,weight,-0.4
김민정_0,"광고 산업발전을 위한 새로운 기회, 스마트미디어 인력육성교육",김민정_1,기사 삭제 청구권 신설의 타당성 검토 : 잊힐 권리를 중심으로,weight,0.6
