name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
오범석,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
심효원,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
이주현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김창식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김나연,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
신성윤,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0]
이원진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김지윤,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
김민수,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
서경민,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1]
김기홍,4,3,0.16667,1.00000,0.28571, [0 0 0 0], [0 1 1 2]
김종국,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1]
박민수,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
이상윤,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2]
김지훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
박재영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
양희진,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
박찬욱,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1]
average,,,0.47004,0.93750,0.62615
