name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
정우진,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
김현정,6,4,0.13333,1,0.23529, [0 0 0 0 0 0], [0 0 1 2 3 3],0.13333333333333333
박수진,4,3,0.16667,1,0.28571, [0 0 0 0], [0 0 1 2],0.16666666666666666
서정매,6,2,0.66667,1,0.8, [0 0 0 0 0 0], [0 0 0 0 0 1],0.6666666666666666
김광훈,3,1,1,1,1, [0 0 0], [0 0 0],1.0
박현구,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
이선희,8,3,0.53571,1,0.69767, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 2],0.5357142857142857
박은실,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김종성,5,2,0.4,1,0.57143, [0 0 0 0 0], [0 0 1 1 1],0.4
김영삼,6,3,0.4,1,0.57143, [0 0 0 0 0 0], [0 0 0 0 1 2],0.4
이승배,5,1,1,1,1, [0 0 0 0 0], [0 0 0 0 0],1.0
김수민,4,3,0.16667,1,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
박남예,7,3,0.26667,0.66667,0.38095, [0 1 0 0 0 0 0], [0 1 1 1 2 2 2],0.38095238095238093
신은주,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
김영미,6,4,0.13333,1,0.23529, [0 0 0 0 0 0], [0 0 1 2 2 3],0.13333333333333333
이상원,4,2,0.33333,1,0.5, [0 0 0 0], [0 0 1 1],0.3333333333333333
조영호,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
서홍석,4,3,0.16667,1,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
김영석,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김민정,6,5,0.06667,1,0.125, [0 0 0 0 0 0], [0 1 1 2 3 4],0.06666666666666667
이상호,3,3,0,0,0, [0 0 0], [0 1 2],0.0
김성아,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김상용,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김진택,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
서종철,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
김진오,5,2,0.6,1,0.75, [0 0 0 0 0], [0 1 1 1 1],0.6
송정일,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이진우,5,2,0.6,1,0.75, [0 0 0 0 0], [0 1 1 1 1],0.6
조성현,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이강희,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
강충길,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
김현기,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
왕세명,5,1,1,1,1, [0 0 0 0 0], [0 0 0 0 0],1.0
김정엽,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
장현애,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김유미,3,3,0,0,0, [0 0 0], [0 1 2],0.0
권세진,3,3,0,0,0, [0 0 0], [0 1 2],0.0
김동호,5,2,0.6,1,0.75, [0 0 0 0 0], [0 1 1 1 1],0.6
송경준,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
김원경,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
권지은,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이용주,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김지은,4,4,0,0,0, [0 0 0 0], [0 1 2 3],0.0
이찬,3,3,0,0,0, [0 0 0], [0 1 2],0.0
김현수,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이동민,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
최준호,5,2,1,1,1, [1 0 0 0 0], [0 1 1 1 1],1.0
김미정,3,3,0,0,0, [0 0 0], [0 1 2],0.0
이태구,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
전찬수,3,1,1,1,1, [0 0 0], [0 0 0],1.0
최미숙,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
김동식,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
정의봉,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김성환,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김성재,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
신태진,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김정현,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
박동철,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김정규,3,3,0,0,0, [0 0 0], [0 1 2],0.0
이병호,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
정소영,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이찬영,3,1,1,1,1, [0 0 0], [0 0 0],1.0
정정호,4,4,0,0,0, [0 0 0 0], [0 1 2 3],0.0
손미경,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김세훈,4,3,0.16667,1,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
이현정,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
이승진,3,3,0,0,0, [0 0 0], [0 1 2],0.0
김지현,4,3,0.16667,1,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
이재정,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이영준,5,2,0.6,1,0.75, [0 0 0 0 0], [0 1 1 1 1],0.6
이순주,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이광석,4,3,0.16667,1,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
안혜신,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이정진,3,1,1,1,1, [0 0 0], [0 0 0],1.0
박지현,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김민영,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김영태,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
김선영,4,3,0.16667,1,0.28571, [0 0 0 0], [0 1 1 2],0.16666666666666666
손영규,3,1,1,1,1, [0 0 0], [0 0 0],1.0
손진희,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이민영,3,3,0,0,0, [0 0 0], [0 1 2],0.0
김관주,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
인치호,3,1,1,1,1, [0 0 0], [0 0 0],1.0
류광기,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김용태,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Na-Young Kim,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
김희진,3,2,0.33333,1,0.5, [0 0 0], [0 0 1],0.3333333333333333
전익재,3,1,1,1,1, [0 0 0], [0 0 0],1.0
임덕신,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
Kim Byung O,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김명준,6,2,0.66667,1,0.8, [0 0 0 0 0 0], [0 1 1 1 1 1],0.6666666666666666
이종현,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
유재수,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김가은,3,1,1,1,1, [0 0 0], [0 0 0],1.0
Byunggon Yang,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
장우석,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김인철,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
남택진,4,1,1,1,1, [0 0 0 0], [0 0 0 0],1.0
김보영,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이정연,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김병주,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
이종수,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김성일,8,3,0.53571,1,0.69767, [0 0 0 0 0 0 0 0], [0 1 1 1 1 1 1 2],0.5357142857142857
이상진,4,2,0.5,1,0.66667, [0 0 0 0], [0 0 0 1],0.5
배상준,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
한찬훈,5,2,0.6,1,0.75, [0 0 0 0 0], [0 1 1 1 1],0.6
박시균,3,1,1,1,1, [0 0 0], [0 0 0],1.0
이수연,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김종태,3,1,1,1,1, [0 0 0], [0 0 0],1.0
윤현민,3,1,1,1,1, [0 0 0], [0 0 0],1.0
김기주,3,1,1,1,1, [0 0 0], [0 0 0],1.0
오승환,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
김도훈,3,2,0.33333,1,0.5, [0 0 0], [0 1 1],0.3333333333333333
박승호,3,1,1,1,1, [0 0 0], [0 0 0],1.0
하지완,4,2,0.5,1,0.66667, [0 0 0 0], [0 1 1 1],0.5
이중혁,3,1,1,1,1, [0 0 0], [0 0 0],1.0
오호준,3,1,1,1,1, [0 0 0], [0 0 0],1.0
average,,,0.59793,0.93544,0.72954,,,0.598447798447798
