name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
민경식,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
조희승,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
김원태,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이상훈,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
윤주범,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
이경용,7,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0], [0 0 0 0 0 0 0],1.0
박상현,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
김진환,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
길현영,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
김현철,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
유혁,5,1,1.00000,1.00000,1.00000, [0 0 0 0 0], [0 0 0 0 0],1.0
이상준,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
이성진,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
문수복,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
홍지만,7,2,0.71429,1.00000,0.83333, [0 0 0 0 0 0 0], [0 1 1 1 1 1 1],0.7142857142857143
홍대식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김도경,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
권현,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
홍충선,9,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0 0 0 0], [0 0 0 0 0 0 0 0 0],1.0
박현선,3,2,0.00000,0.00000,0.00000, [1 2 0], [0 1 1],0.6666666666666666
이종혁,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
이연식,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
최재영,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
추현승,3,1,0.00000,0.00000,0.00000, [2 1 0], [0 0 0],0.0
이정우,6,3,0.40000,1.00000,0.57143, [0 0 0 0 0 0], [0 1 1 1 1 2],0.4
고영배,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김대원,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
박민용,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
이동훈,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
정용호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
노종선,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김지홍,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
박종웅,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김세진,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
조성현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
송영준,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
최정민,4,2,1.00000,1.00000,1.00000, [1 0 0 0], [0 1 1 1],1.0
진성근,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김병서,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
조기춘,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
신상욱,5,2,0.60000,1.00000,0.75000, [0 0 0 0 0], [0 1 1 1 1],0.6
노광현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이강희,6,1,1.00000,1.00000,1.00000, [0 0 0 0 0 0], [0 0 0 0 0 0],1.0
average,,,0.60048,0.95238,0.73656,0.6163548752834469
